Comment,Hatespeech
"Butkeviciaus mandagus atsakymas turetu skambeti taip. Klausau virsininke,bet savo valstybeje savo problemas spresime pagal savo isgalias.",No
"jei mes nebežinom kaip elgtis, gal nukopijuojam didžiųjų ES valstybių patirtį, kaip jie rašo mažumų pavardes, pav. prancūzai, vokiečiai . Tada mūsų mažumos gales skųstis ES",No
"jei mes nebežinom kaip elgtis, gal nukopijuojam didžiųjų ES valstybių patirtį, kaip jie rašo mažumų pavardes, pav. prancūzai, vokiečiai . Tada mūsų mažumos gales skųstis ES",No
"Na .. jeigu jau Donaldas, vienas mylimiausių vaikų filmų herojų, prašo ... negi mums gaila - gal tikrai laikas vieną kartą imti ir išspręsti tą problemą - visiems laikams: pakeisti V.Tomaševskį normaliu lenku Neverovičiumi ir problema išnyks :) Daugiau gi nieko ir nereikia.",No
"Valio, taip ir čia turi būti, nemoki Lietuviškai - negauni darbo. Kokios problemos.",No
"Lietuvoje lenkai neturi jokiu problemo, vienintele problema, tai Tomasevskis, kuris vien del reitingu ir noro likti politikoje, kelia audra ten kur jos nera. Turiu daug poazystamu ir net giminiu lenku, visiems tomasevskipo kovos uz lenku teises kelia tik juoka. Manau Tomasevskio karjerai arteja galas, nes su kuo bepasikalbi, jei iki siol uz ji kaip lenku kandidata visi balsavo, tai dabar sake ieskos kitu, ne tokiu issisokeliu.",No
"Lenkų kažkur tik apie 7 proc. Lietuvoj, o visi kiti Tetuišiai. Vilniaus kraštas buvo okupuotas, iki šiol nepripažįsta šito fakto, kita vertus, kieno buvo Punskas , Seinai , Olštyną ir visą esama mozūriją. Problema eskaluoja ne gyvenantys žmones tame krašte, o keletas veikėju. Europos Sąjungos ir visos kitos tarpvalstybinės sutartys galimos tiek, kiek neprieštarauja mūsų Konstitucijai.",No
Reikia visomis išgalėmis stabdyti užsienio valstybių kišimąsi į Lietuvos vidaus reikalus.,No
"tokie reikalavimai yra kitos kaip valstybes griovimas, kazi ka veikia VSD, kodel nererikalaujama is rusijos uz deportacijas i sibira, gal liankus lietuviai veze kazkur?",No
"tokie reikalavimai yra kitos kaip valstybes griovimas, kazi ka veikia VSD, kodel nererikalaujama is rusijos uz deportacijas i sibira, gal liankus lietuviai veze kazkur?",No
o kodėl toki rimta klausima sprendžia kažkokiu bepročiu burelis mano manymu ši klausima turi sprest tauta.,No
Nuo pat įkūrimo 1323 iki III padalinimo 1795 Vilnius priklausė Lietuvos Didžiajai Kunigaikštystei ir buvo jos sostinė. O kiek laiko Vilnius priklausė Lenkiją? :),No
"Nežinau,argi Lietuvos lenkai turi čia kokiu nors problemu?",No
"Dar vienas klausimas. Jei įstatymas"" bus prastumtas, kuo aš labai abejoju (kad ir kokie bebūtų mūsų seimūnai, jie tikrai ne ""savižudžiai""), kas reguliuos vietovių pavadinimų rašymą lenkiškai? Ar paprasčiausiai bus paimti okupaciniai pilsudskiniai pavadinimai ir perkelti į dabartį?""",No
"Man atrodo, jei tik Putinas panorės okupuoti Lenkiją, lietuviai tam neprieštaraus.",No
"Tai gal ponulis apsijuokei? Lenkija yra okupavusi ar sovietų laikais gavusi krūvas svetimų teritorijų, todėl ji privalo etniniams gyventojams ne lenkams užtikrinti mažumų teises pagal konvencijas. O Lietuva niekieno teritorijų nėra okupavusi, todėl tokios pat taisyklės negali būti taikomos pariteto principu.",No
Punskas ir Seinai - sulenkintos etninės lietuivių žemės. Gal žinai Lietuvoje sulietuvintų etninių lenkų žemių?,No
Na kodel taip perlenki lazda eidamas i krastitunumus? Kalbam apie lotyniskus simbolius.,No
KOKIŲ PROBLEMŲ TURI lenkai LIETUVOJE? JAU LIETUVIAI TURI PROBLEMŲ SAVO ŠALYJE...,No
"ramiai 2014-04-02 15:36 IP: 78.58.191.244 Noriu paklausti, jūs vietovių pavadinimus ruošiatės rašyti lietuviškus, tik lenkiškomis raidėmis, ar aplamai pagal pilsudskio žemėlapius, tarsi įrodinėdami, kad tai nuo amžių"" lenkiškos žemės?""",No
"ramiai 2014-04-02 15:36 IP: 78.58.191.244 Noriu paklausti, jūs vietovių pavadinimus ruošiatės rašyti lietuviškus, tik lenkiškomis raidėmis, ar aplamai pagal pilsudskio žemėlapius, tarsi įrodinėdami, kad tai nuo amžių"" lenkiškos žemės?""",No
"Tai tuoj arabai gales Olandijoje savo pase herogllifais raysyti ane? Lietuvos zydu pasas ir gi gali buti ju rasmenimasis reaytas aerne? Rasybos simboli tu, neviskas tik varneles, ir dvigubos w. Beje Memel varda reikia grazinti Klaipedai koks ir buvo 600 metu, ar ne?",No
"Tai tuoj arabai gales Olandijoje savo pase herogllifais raysyti ane? Lietuvos zydu pasas ir gi gali buti ju rasmenimasis reaytas aerne? Rasybos simboli tu, neviskas tik varneles, ir dvigubos w. Beje Memel varda reikia grazinti Klaipedai koks ir buvo 600 metu, ar ne?",No
"Dėl vietovardžių nepritari, o kodėl? Kam blogiau nuo to, kad po lietuvišku užrašu būtų antras užrašas kompaktiškai toje vietovėje gyvenančios tautinės mažumos kalba? Tai demokratiška, tai reiškia pagarbą tos teritorijos gyventojams, tai pademonstravimas, kad ši šalis yra ir jų namai, jų tėvynė, kad čia jie nėra svetimi. Bet jeigu nepritari, tai kreipkis į Lenkijos vyriausybę su pasiūlymu, kad būtų pašalinti visi lietuviški užrašai Lenkijos Punsko ir Seinų krašte - jų ten gana daug.",No
"Yra dar vienas niuansas. Prastūmus šį įstatymą"", jo atšaukti, ar taisyti jau bus neįmanoma. Nes lenkai automatiškai pradės rėkti apie ""sąlygų bloginimą"". Prasidės tampymai po visokius tarptautinius teismus ir tt. Ant kiek reikia būti durniems, kad nematyti tokių perspektyvų? Čia panašiai, kaip su žemės referendumu, negi būtinai reikia, kad lietuviai išeitų į gatves, idant valdžiagyviai pradėtų dirbti savo tiesioginį darbą - saugoti ir puoselėti vienintelį šioje Žemėje lopinėlį, skirtą lietuviams?""",No
tai kad cia ne lenkija. mes tvarkomes taip kaip mes norime.,No
Ta balandzio 1-osios pokstas.,No
"Kai susipyko su savo sazine, ir pradejo parsidavineti bet kam, kas daugiau mokejo.",No
"?? ??? ? ?? ????? ??? ?????-?y??????. GĖDA LIetuvos ,,patriotui'' j.sabatauskui :(",No
"mergaitems smegenines nuo karstu pietietisku komplimentu, o pasekmes baisios.... Gaunas kaip tam filme kur sako, gal ir gali paukstis pamilti zuvi, bet kur jie tada turi kurti savo namus... Taigi, yra apie ka pagalvot.... Ir is viso reikia nuolat galvot, o ne istirpt nuo keliu komplimentu, susigadinant sau ir, kas blogiausia, kitiems gyvenima...",No
"tai baudžiamoji byla dėl nuolat pasikartojančių grasinimų nužudyti. Jeigu paskaitytumėt atydžiau pastebėtumėt, kad indas jau buvo gavęs baudą, tačiau savo elgesio nepakeitė. Civilinės bylos, pageidaujant šalims, taip pat gali būti uždaros ir visiškai normalu, kad baudžiamosios bylos posėdis yra uždaras.",No
"Kam reikia laikyti inda su antrankiais,kaleime.Vot ir parode savo valdzia Sabatauskas.Indas teisus.Jis atvyko pas savo dukra.Manau,jy reikia paleisti teismo saleje.Jei ka ka pasikarsciaves ir parase,tai cia ne svieto pabaiga.Mazai mes cia patys ka nepasakom supyke.tokios dukros as kaip tevas nepavadinciau...tik kūrva.taip musų kaime sako.Tad nedaryk nesamonių Sabatauskai,ne amzinai busi valdziojke,reikes ir ataskaitas kaskada pateiktiii.Neįsijausk.",No
"o ko laukia vaicekauskiene su 240 vaikinuku - perduoti tevui mergaite, pakeisti jos tapatybe",No
Tegul pradeda nuo pacio Sabatausko,No
"Per daug neigiamos energijos susikaupe virs Sabatausko , todel, matomai, ji ir sprogo...",No
"Gyvenu Danijoje daug metu. Patikekit, vaikas yra mamps ir tecio, o ne vien mamos. Grazu ziureti, kad tevai lieka tevais ir po skyrybu, nors skyrybomis jokiu butu nesizaviu. Gerai yra tai, kad vaikas ne netenka ir vieno is tevu, kaip daznai nutinka LT. Mamos vaiko savinimasis yra labai budingas slavams ir postsovietinei erdvei.",No
"na, aciū ,Dievui, mano diedukas lietuvis, mano žentas ir marti irgi lietuviai, o anūkės gyvena normaliose, neišsiskyrose šeimose,,,.",No
"nu ka Sabatauskai , ar prisimeni Garliavos mergaite , matai , lazda turi du galus -vienam nueinant , kitam pareinant",No
"nesutikciau, nes tu paciu lietuviu tarpe kiek yra neprognozuojamu.....o juk mes maza tauta",No
"nu mat kaip tevas protestuoja kad negali su vaiku matytis, o musu tautieciai vyrai""kuriuos net nepavadinsi tevais atsisako savo atzalu kad tik nereikertu islaikyti!!!!! pagarba uzsienio vyrukui :)""",No
"sabatauskas labai palaike stankunaite kad jai grazintu mergaite,tai kodel dabar geranoriskai neleidzia abiems tevams auginti mergaite.Juk koks blogas tevas butu,bet jis yra tevas ir nevalia atimti is jo vaiko.Kazkur labai girdeti zodziai",No
tauta nyksta baisiu tempu,No
"sabatauckai , ejai kaip igaledamas pries paksa, susidejai su uso ir stankes saika , va ir prasideda karma",No
"turiu tris anūkes, Dieve, duok jom proto...",No
"Pardon,nuo kada Sabatauskas su savo mergomis-Lietuva?",No
"visame pasaulyje moterys savinasi vaikus ir kerstauja, neleisdamos matytis su tevais",No
"tai kad ji neištekėjusi už to indo, skaityk straipsnį. Čia gi jos sugyventinis.",No
na bet ir vištos razumėlis su tokiu ... o paskui kvaksi...,No
"Kaip baisu atskirti vaiką nuo tėvo. Tėvas ir motina yra lygūs, gaila, kad tokie Sabatauskai to nesupranta. Jie yra tik seneliai ir niekada vaikui nepakeis tėvo. Reikėtų jau nebesikišti į dukrelės šeimą. O dukrelė jų juokinga, vaikšto į tėvelius įsikibusi, savo vaiką pasigimdė, o dar tėveliams iš paskos vaikšto. Ar čia suaugusio žmogaus elgesys. Aišku, kad ir Lietuvoje turbūt pusę senelių išvarytų ir marčias ir žentus, o paskui patys auklėtų anūkus, bet gerai, kad suaugę vaikai sugeba pasipriešinti tėvų spaudimui ir laikytis savo, o ne tėvų šeimos. Beje, mano draugių atveju, daug moterų išsiskyrė jaunos, nes taip patarė tėvai. Maždaug rasi geresnį, gražesnį. Taip ir liko vienišos mamos su savo mamom gyventi. Aišku, būna ir klinikinių atvejų su smurtu šeimoje, bet panelei reikėjo geriau apsižiūrėti prieš sugulant į lovą. O dabar jau tėvas vaikui yra šventas žmogus ir motinos pareiga yra saugoti tėvo autoritetą, patinka ar nepatinka tai.",No
"nemanykit kad indai zemesnio lygio ir juos galima stumdyti kaip kaladeles, Jie buna labai izeidus ir nenori likti skolingi. Taigi kantrybes ir dideles tolerancijos prireiks Sabatauskams, O merginai reikejo galvoti uz ko teka bent pasidometi kas tai per zmones",No
taip jam ir reika!!!!!!!!!!!! Tegul jo seima paniurko ir neduoda ramybes vien uz musu mergaite!!!!!!!,No
Jų kultūroj tėvas turi rūpintis vaiku-labai gražu. Mūsų kultūroj-svarbiausia prestižas. sabatauskas susimovė su morale--tėvo negali pasirinkti..jis bando pasirinkti žentą ir jam nepasisekė..,No
nebus svarstomas J.Sbatausko elgėsys-vaikų teisių pažeidimas????? KODĖL nebus?,No
Kiek is viso lietuvaiciu mergu jau parsidave tokiems?,No
"Sabatauskai PAŽEIDINĖJA vaiko intetesus-turėti, bendrauti su abiems tėvais? Jiems Įstatymai,. LR Konstitucija negalioja?:(",No
"gal pries multikulturizma"", o ne mono...""",No
"Jei davei ikišti,tai ir vaika lankyti leisk.",No
"Sabatauskai, tobulink įstatymus, žiūrėk kokią nesąmonę svarstysite dėl žemės pardavimo balandžio 22 d.Negi darote šuolį į socializmą dėl žemės pirkimo galimybių Lietuvos piliečiams visiško suvaržymo.Kaip įsigyti žemės 15 ha vilniečiui , kauniečiui ar kla[pėdiečiui, nesančiam kaimiško rajono gyventoju? Ar pagalvojai,kad tai kertasi su visais kitais įstatymais ir Konstitucija? O dėl indo, tai gal labai jau nedrebėk, jis tik niekus tauškia,jei ką norėtų daryti tai nekalbėtų, o darytų.",No
"Ka dabar kalbet ir rankom skesciot ponas Sabatauskai,reikejo dukra tinkamai auklet vaikystej.Tai ir visas reikaliukas.",No
Cia Sabatauskui atpildas uz siuksles piltas ant Pakso.,No
"dievas yra Sabatauskai.tai dievo pirstas baudzia tave ir tavo seima daugeliui kartu i prieki.priiminejai istatymus pritaikytus vienai butybei(Lietuvos ''motinu motinai'' su raudona pinigine)issivaipei ir uzgesinai N.Venckienes pasiulytas pataisas,del bausmiu sugriestinimo vaiku prievartautojams,tai dabar ir srebkit atpildo sriuba.",No
"Čia tipiškas atvejis, kai panelės nuvažiavę i Londona ar kitus Europos miestus puola į glėbį užsienietiškiems gražuoliams, tik kai nepasiseka suderinti interesų, su vaiku pabėga Lietuvon. Gi taip atsitiko ir su I. Rinau, kuri šaukėsi visų pagalbos, bet ji neturėjo tėvo Sabatausko... O juk vaiko tėvas turi teisę matytis su savo vaiku, (reikia pripažinti, kad užsienyje vaikas yra labiau vertinamas nei Lietuvoj) bet matot čia ne bet kas, o pats p. Sabatauskas, čia jau kiti istatymai tokiems galioja, jie yra truputį aukščiau už visus mirtinguosius, jie kaip p. Paulauskas sako, nusipelnė gyventi geriau...",No
"buna, kai dulkinies su kuo papuola... :)))",No
"O man visai negaila .Pažiūrėkit koks įstatymas siūlomas dėl pensijų daugiavaikėms mamoms,jos turi ne tik užauginti dorus vaikus iki 18 metų ,bet ir nežinia iki kiek dar metų atsakyti už juos ,kad gaunant tą pensiją nė vienas vaikas nesėdėtų kalėjime ir t.t. Perskaičius nusispjoviau ,nes to visam pasaulyje ,manau .nėra .Tai kur čia teisingumas.Visi juk gerai žinom ,kad gerų tėvų vaikai užaugę vienas tampa kunigu ,kitas vagim ,o trečias girtuokliu.Sabatauskui reikia žiūrėti tikro teisingumo ,o ne siekti ,kad kuo mažiau tų pensijų reikėtų išmokėti.",No
"Skirtumas tas, kad Suomijai padejo del, to,kad Europa dar nebuvo issekinta antrojo pasaulinio. Po pergales pries nacistine Vokietija, realiai niekaip sajungininkai negalejo ikelt kojos i baltijos salis. Jos geopolitine padetis neleido. Tuo labiau, kad vidurio Europa, su labiau svarbia Lenkija irgi buvo palikta, be vakaru apsaugos. Tais laikais, ypac diplomatijos kalbos svori, leme karine galia. Vienas dalykas, kad jau visi buvo pavarge po karines politines itampos tuo laiku, kad musu balsas tapo girdimas tiek, kiek butu girdimas blusos balsas. Antra, niekas neturejo tiek jegu, kad galetu konfliktuot su sovietu sajunga. Nors ir pernesusi didesnius nuostolius, sovietai sausumos pajegomis, buvo nepalyginamai stipresni uz vakariecius. Taigi, del Baltijos saliu niekas net realiai nebutu nieko padares, bei net nebutu emesi vel del sio regiono kelt dar viena kara.",No
"Konstitucijai niekas neprieštarauja. Karinės bazės - ne užsienio, o Lietuvos kariuomenės. Lietuvos kariuomenės bazėse šalia lietuvių karių laikinai (pvz. 10 metų truksiantiems tęstiniams mokymams) bus dislokuoti JAV kariai. Zokniuose gi dislokuoti kitų šalių NATO kariai, ir tai neprieštarauja Konstitucijai. Nes Zoknių bazė - Lietuvos kariuomenės, o ne JAV ar Portugalijos. Jei Rukloje šalia Lietuvos karių bus dislokuoti ir amerikiečių kariai, tai nebus JAV bazė. Tai Lietuvos kariuomenės bazė, kurioje bus dislokuoti ir sąjungininkai - kitų NATO šalių kariai. Problemų teisiniu požiūriu nėra. Problemas mato tik Rusijos fanai.",No
Gal nori prisiviliot rusakalbius rinkejus ?,No
NATO gali pasiųsti amerikiečių pajėgas į Baltijos šalis bet negali pasiūlyti kad visas pasaulis sunaikintų ginklus ir įsivaizduojama priešą savo prote...,No
"Tai prezidente ir is tos kolonos???? Vakar pareiske,kad Lietuvoi negali but svetimu kariniu pajegu.",No
atvyks tie 100 kareiviu ir kas bus?,No
"Skirtumas tas, kad Suomijai padejo del, to,kad Europa dar nebuvo issekinta antrojo pasaulinio. Po pergales pries nacistine Vokietija, realiai niekaip sajungininkai negalejo ikelt kojos i baltijos salis. Jos geopolitine padetis neleido. Tuo labiau, kad vidurio Europa, su labiau svarbia Lenkija irgi buvo palikta, be vakaru apsaugos. Tais laikais, ypac diplomatijos kalbos svori, leme karine galia. Vienas dalykas, kad jau visi buvo pavarge po karines politines itampos tuo laiku, kad musu balsas tapo girdimas tiek, kiek butu girdimas blusos balsas. Antra, niekas neturejo tiek jegu, kad galetu konfliktuot su sovietu sajunga. Nors ir pernesusi didesnius nuostolius, sovietai sausumos pajegomis, buvo nepalyginamai stipresni uz vakariecius. Taigi, del Baltijos saliu niekas net realiai nebutu nieko padares, bei net nebutu emesi vel del sio regiono kelt dar viena kara.",No
"gai ir detu, bet kad nedideli turi.",No
Greičiau atvyktų NATO pajėgos į Baltijos šalis.,No
"o tai jau medžiaga prokurorams, Delfi turėtų kreiptis į prok-s , kad būtų nustatytas autorius ir patrauktas baudž. ats. už nesantaikos kurstymą",No
Sekmes be duju gyvent :D,No
"Konstitucijai niekas neprieštarauja. Karinės bazės - ne užsienio, o Lietuvos kariuomenės. Lietuvos kariuomenės bazėse šalia lietuvių karių laikinai (pvz. 10 metų truksiantiems tęstiniams mokymams) bus dislokuoti JAV kariai. Zokniuose gi dislokuoti kitų šalių NATO kariai, ir tai neprieštarauja Konstitucijai. Nes Zoknių bazė - Lietuvos kariuomenės, o ne JAV ar Portugalijos. Jei Rukloje šalia Lietuvos karių bus dislokuoti ir amerikiečių kariai, tai nebus JAV bazė. Tai Lietuvos kariuomenės bazė, kurioje bus dislokuoti ir sąjungininkai - kitų NATO šalių kariai. Problemų teisiniu požiūriu nėra. Problemas mato tik Rusijos fanai.",No
"Konstitucijai niekas neprieštarauja. Karinės bazės - ne užsienio, o Lietuvos kariuomenės. Lietuvos kariuomenės bazėse šalia lietuvių karių laikinai (pvz. 10 metų truksiantiems tęstiniams mokymams) bus dislokuoti JAV kariai. Zokniuose gi dislokuoti kitų šalių NATO kariai, ir tai neprieštarauja Konstitucijai. Nes Zoknių bazė - Lietuvos kariuomenės, o ne JAV ar Portugalijos. Jei Rukloje šalia Lietuvos karių bus dislokuoti ir amerikiečių kariai, tai nebus JAV bazė. Tai Lietuvos kariuomenės bazė, kurioje bus dislokuoti ir sąjungininkai - kitų NATO šalių kariai. Problemų teisiniu požiūriu nėra. Problemas mato tik Rusijos fanai.",No
"seneli, cia kalba eina ne apie rusu armija",No
Nato gali pasiųsti pajėgas. Bet kam to reikia?,No
Spekite kas juos maitins.,No
"tu manai, kad jie nedislokavę ??? Naivuolis :))",No
Gal nori prisiviliot rusakalbius rinkejus ?,No
"kad gali, nes NATO mums yra ne svetima, o sava kariuomenė, todėl Lietuvos Konstitucija ir leidžia.",No
"Bet Grybauskaitė pareiškė, kad Lietuvoje NATO bazių nebus",No
NATO gali pasiųsti amerikiečių pajėgas į Baltijos šalis bet negali pasiūlyti kad visas pasaulis sunaikintų ginklus ir įsivaizduojama priešą savo prote...,No
"NATO pajegos Lietuvoje, Latvijoje ir Esatijoje is tikruju butinos - prisiminkime 1945-1952 metu perioda Lietuvoje, kuomet buvo reali galimybe Lietuvai issivaduoti is stalinistines okupacijos. Tuomet Leituvos laisves kovotojams pagalba buvo gyvybiskai butina, ir jei Vakarai tuomet butu padeje Lietuvai, Latvijai ir Estijai taip, kaip buvo pasiruose padeti Suomijai, netolima Europos istorija butu susiklosciusi visiskai kitaip.",No
"I lietuva tai neatsius.Vakar prezidente pasake,kad musu Konstitucija draudzia jiems pas mus pasirodyt. Pasistoja klausimas,kodel kai jiems reikia,tai pastumia Konstitucija i sona.????",No
"Nieko naujo, - ažiotažas tam ir keliamas, kad mes norėtume"" NATO dalinių ir kad sutiktume juos savo lėšomis išlaikyti. Žiniasklaida jau savo kaip ir pasiekė.""",No
"puola ukraina ,isiverzia gynt lietuva",No
Nereikia cia tu NATO pajegu...per daug puciamas burbulas. Kiek yra ir dabar pakanka. Zmones rupinkimes ekonomika savo salies ir kt problemomis nekeldami bereikaliingos itampos su kaimynais.. diplomatai tvarkosi gerai ir EU bei JAV sankcijos Rusijai veikia... Kaimynei nera naudinga pulti Baltijos salis.,No
Teisybe sikna spaudzia - SUPRANTU,No
Yra didesnis blogis - Putino politika.,No
atsakydama i tai gali dislokuoti branduolini ginkla baltarusijoje ar Karaliauciuje.Tapsim tikrai saugesni,No
"Tau gerai, kai uz komentara sumoka 30 rubliu",No
"Jo, Rusija bombardavo Jugoslavija, Iraka, libija, finansuoja kara Sirijoje, destabilizavo padeti Egipte ir t.t",No
Malodec dekui tau galvojau ir niekaip nesugalvojau vertimo -10 balu,No
"Matosi koks naivus esi, nes gatveje sutikus desimt agresyviu 15-meciu, gali ir neisgyventi. Tikriausiai toliau savo kompiuterio nebuvai nuejes.",No
"tamstai VM Visų pirma - ne TU ,o JUS antra- aš nieko nemanau, aš tik siūlau Jums pagalvoti prieš rašant ką nors..",No
gali atsiusti labai graziu nuotrauku. . . DDDD,No
"Tikrai labai padėtų, išsklaidytų netikrumo atmosferą, sukeltą nesiliaujančio Kremliaus bauginimo ir tyčiojimosi.",No
"MES NORMALUS LIETUVOS ZMONES,EISIM SU NATO,UZ NEPRIKLAUSOMYBE IR GINSIM LIETUVA NUO BET KOKIOS OKUPACIJOS.",No
"O cia tai dziaugciausi, butu geras zingsnis",No
"Kas per daug, tas nesveika.",No
"taip,Jonai,tu kai kur teisus:yra tokiu sveciu-isvaduotoju,kurie ateina lengvai,bet iseiti pamirsta.Ir kur ju nerasi,pilna visose Baltijos salyse,Ukrainoje,visose buvusiose sovietinese salyse.Dabar jau ir JAV tokiu ,,sveciu''apstu.Tagi,kazkuria prasme as tau pritariu.Tai mes Joneli uz tuos,kurie nepamirsta iseiti,a ne?",No
senai reikejo atsiusti ir kuo daugiau tuo geriau,No
"Gerai būtų, kad amerikiečiai dislokuotų savo pajėgas Lietuvoje, tada, ko gero, sugįžtų ir mūsų manekenės, šokėjėlės, konsumatorės, sunkiai triūsiančios svečiose šalyse...",No
"Esu uz taika pasaulyje ir pries svetimus karius musu teritorijoje. Tai yra okupacija. Dasigyvenom. Dabar niekuo nesiskiria musu padetis nuo buvimo cccp. Gal kas mato skirtumu? Po cccp irgi keliavome be problemu, kaip ir dabar po europa.",No
"kada Volkov ukrainietis, o ne rusas, a?",No
"kada Volkov ukrainietis, o ne rusas, a?",No
"O Amerika yra garbinga, žodžio ir susitarimų besilaikanti, vakarietiškos civilizacijos valstybė",No
NUSIBODO JUODAI !,No
Mmmm kaip jus gerai nuveiket. Rusas tikriausei db nebezino nei ka daryti. Juokdarei,No
Tai į Rusiją reikia vizų.,No
jus matet kainas? bloomberg.com/energy/,No
"NATO, JAV, ES...bekiausiai bestuburiai, kitaip nepavadinsi",No
"jeigu Ukrainieciai nori tai tegul eina i Rusijos sudeti, ten..Ukrainoje didziulis skurdas niekas nenori pragyventi visa savo gyvenima tokiame skurde",No
"Jo, tikėk, kad naktim neužmiega. :)))",No
Putkinas dreba ir deda I kelnias dabar.,No
o kas toks Kerry ir prie ko jis ir Ukraina? ka jis pamete Ukrainoje? gal su Meksika sumaise?,No
Yesss ! Salo uronili - uronili salo ! :))),No
Lietuvoje tris milijonai o jai bus karas du milijonai per eis i rusu puse ir ne būkite juokingi ir trumparegiai Amerika nori parduoti savo nafta savo dujas nes jiems galas ekonomikos jie žlugo dar metai ir viskas Amerikos nebiera surado lezbijete ir pasinaudojo,No
Ukraina bus ir ES ir NATO! Šlovė Ukrainai!,No
TAIKA-DRAUGYSTĖ-GUMA!!!,No
"Jus patis norit karo , jus norit kraujo, jus tik filmose mate kara , na nieko greiciausei gausit to ko norit , VISAGALIS skaito musu mintis ,bukite acargus",No
"nzn kaip kitiems, bet man J. Kerry lb panasus i ta medi is Ziedu valdovo""...""",No
provokatoriams iš Vilniaus r. nesimiega :),No
"Aš noriu paskaityt kažkokiu įdomesnių naujienų, bet šviesos tunelio gale nematyti.",No
BALANDŽIO 1 JUOKAS!!!,No
"ir skaiciuok , ko tu isvis skaitai tai kas tau net nesuvokiama ? Sakyciau , kad apie Petruskeviciaus apatinius rasytu po 5 straipsnius per diena , bet kalba eina apie daug svarbesnius dalykus . Todel ir raso .",No
"niekam tai ne problema, nes niekas nevercia skaityti. Nebent tavo toks darbas po visais komentarais privemti, tai jo tada didele problema :)",No
"gerai kad negyvenu lietuvoj,butu ir mano smegenine praplauta",No
"Klausyk J. Kerry as tau galiu pasakyti kur gersnius plaukus priaugina arba kur geresnius perukus parduoda negu tavo dabartinis. Labai jau nutriuses kazkoks, o mane mokino niekada nepasitikek zmogumi kurio plaukai atrodo pigiai.",No
naftos kaina siandien -2 proc. Visgi planas veikia DDDDDDd,No
"Gal kas skaičiavo kelintas straipsnis, šiandien apie NATO ir Rusiją?",No
atkirtis agresoriui - geriausias atsakas.,No
Kur ta ruseli buvai sutikes? Kalvariju turgui? O kokia kalba su juo kalbejai? :)),No
"Rusija su rusais buvo tokie pat Sovietines sistemos aukos todėl iki šiol šlovina staliną, kuris juos galabijo milijonais?",No
"PRASTAS STRATEGAS-FAKTAS,štai prie ko privedė rusiškas gobšumas,daber net kinija suprato,kaip atgauti savo žemes ir suprato,kas tikrasis priešas,gaila amžius neleis pamatyti,kuo baigsis rusijos imperijos krachas.dabar jau kiniečiai ,kurių dauguma sibiro platybėse,pradės skųstis rusų netolerancija",No
"tik ir skaitom puola, puole puls- vis primena esamaji, buvusiji, ir busimaji veiksmazodziu reiksmiu laika, mokinukams gerai , kad primenate........turim pasakyti atsibodote, suprantam darote reklama, kad reikia cia musu zemeleje kariniu jav baziu-iskraustem tsrs karines bazes, o dabar ka kisat, nenusipelne musu sventa Lietuvos zemele tu zmoniu naikinimo baisiuju stociu",No
Kur ta ruseli buvai sutikes? Kalvariju turgui? O kokia kalba su juo kalbejai? :)),No
"galabijo sovietai ir ruselius, ka nezinojot? domekites istorija",No
"Neklausk ka tau dave valstybe, paklausk saves ka del jos gali padaryti tu....",No
"Tu garbusis, nuo galvos nusiimk megztą beretę, nuo kojų nusiimk klumpes ir pagalvok, kad MAN NIEKAS NETRUKDO PER ATOSTOGAS GRĮŽTI APLANKYTI ARTIMŲJŲ, nu pasakyk tu man, ar kartais pasinaudoji gamtos duota žmogui dovana-mąstymu, oi negaliu, dar jis man šneka apie mokesčių dydį.....atsakyk, KĄ TAU GERO DAVĖ VALDŽIA, KAD GERIAU GYVENTUM? Iš tavo išsisukinėjimų aišku, kad NIEKO",No
"cia geras bajeris, mokesiu ka padarysi :DDDDD",No
"Kur emigraves kloune, su Kauno IP adresu :)))",No
"Ligonis is Kauno psichiatrijos klinikos su IP: 88.222.155.7 vel isivaizduoja esas emigrantu...Zmogus labai norejo emigruoti, bet pritruko pinigu bilietui. Va protelis ir pasimaise. Dabar sedi palatoje kartu su Napoleonu ir mezga berete.....",No
"melagiuk tu, nedirbi tu jokioj rusijoj, matau pagall tavo IP adresa. ko gero niekada ir nebuvai. vienintelis tavo tikslas sikti ant savo salies ir kaltinti visus kitus, kad nenusiseke gyvenime. dabar siek tiek pamoku - nevykeli. nori gyventi gera, saziningai ir tuo paciu buti gerbiamas? idek pastangu. gyvenimas niekur nera rozemis klotas-ne vienoje, net ir turtingiausioje pasaulio valstybeje. o mokesciai, beje yra kiekvienos civilizuots valstybes pozymis, nes tik taip sukuriama gerove. jei nenori mokesciu, na tada tikrai tau laikas i mozambika, papua naujaja gvineja ar rusija. sekmes nevykeli.",No
"man irgi susidaro ispudis, kad jie turi koki 10 samdomu ekspertu kuriems moka uz ekspertizes"".""",No
rusijoje smukus rubliui jos po 300 lt,No
